PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS ,,,,,,,,,,,,,,
REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,AGE 25-64,AGE 25-49,AGE 50-64,AGE 65
National,X,2010,13,10359,713863,1875,1.495719884,1.451118772,3408,3733,X,1954,736,528
National,X,2010,14,8813,730068,1850,1.223130217,1.207147827,3090,2933,X,1718,644,428
National,X,2010,15,8801,749563,1831,1.177542409,1.174150805,3117,3110,X,1572,598,404
National,X,2010,16,8362,719580,1765,1.091118514,1.162066761,2921,3044,X,1461,522,414
National,X,2010,17,8440,720054,1755,1.119579371,1.172134312,3081,2972,X,1435,557,395
National,X,2010,18,7914,705551,1710,1.08168512,1.121676534,2781,2901,X,1385,482,365
National,X,2010,19,7697,669414,1664,1.124974827,1.149811626,2851,2645,X,1363,491,347
National,X,2010,20,7603,670887,1624,1.06196979,1.133275798,2816,2553,X,1364,498,372
National,X,2010,21,6853,633532,1497,1.089087669,1.081713315,2636,2188,X,1235,445,349
National,X,2010,22,6595,549773,1421,1.17760142,1.199586011,2413,2172,X,1212,463,335
National,X,2010,23,5755,604004,1435,0.974930395,0.95280826,2147,1831,X,1081,374,322
National,X,2010,24,5316,580329,1405,0.98713178,0.916032113,1975,1784,X,978,339,240
National,X,2010,25,5334,575664,1384,0.995990538,0.926582173,2027,1779,X,882,397,249
National,X,2010,26,4718,542536,1347,0.904726272,0.869619712,1754,1541,X,862,323,238
National,X,2010,27,4691,519414,1353,0.941927008,0.903133146,1753,1566,X,816,334,222
National,X,2010,28,4234,547187,1284,0.880415229,0.773775693,1458,1450,X,819,298,209
National,X,2010,29,3950,531790,1265,0.842614662,0.742774403,1323,1335,X,759,335,198
National,X,2010,30,3850,526723,1250,0.858382365,0.730934476,1290,1279,X,805,302,174
National,X,2010,31,4077,518121,1241,0.833830395,0.786881829,1381,1357,X,839,291,209
National,X,2010,32,4008,525260,1212,0.847436543,0.76305068,1378,1307,X,809,300,214
National,X,2010,33,4518,537190,1225,0.888273269,0.841043206,1485,1592,X,883,360,198
National,X,2010,34,4420,558382,1235,0.765372288,0.791572794,1520,1592,X,811,295,202
National,X,2010,35,5007,548573,1170,0.918580443,0.91273176,1564,1866,X,1019,354,204
National,X,2010,36,5493,531250,1198,1.014317872,1.033976471,1850,1959,X,1076,374,234
National,X,2010,37,5510,589930,1210,1.012325612,0.93400912,1720,2118,X,1061,358,253
National,X,2010,38,6741,623077,1206,1.118032817,1.081888755,2134,2510,X,1291,480,326
National,X,2010,39,6387,599366,1254,1.118059422,1.065626011,1995,2383,X,1269,446,294
National,X,2010,40,8473,746485,1838,1.109387134,1.135052948,2627,3142,X,1677,627,400
National,X,2010,41,9347,746230,1875,1.243411499,1.252562883,2953,3522,X,1779,649,444
National,X,2010,42,9684,777397,1907,1.257262029,1.245695571,3044,3641,X,1898,690,411
National,X,2010,43,9904,781234,1929,1.257344775,1.267737963,3226,3822,X,1754,682,420
National,X,2010,44,11020,766753,1947,1.434139584,1.43722946,3451,4397,X,1981,736,455
National,X,2010,45,11807,769982,1940,1.518377991,1.533412469,3927,4679,X,1956,734,511
National,X,2010,46,13336,787038,1921,1.616174081,1.694454397,4416,5322,X,2327,774,497
National,X,2010,47,12079,606527,1938,1.843777191,1.991502439,4598,4145,X,2043,743,550
National,X,2010,48,13997,772016,1964,1.725354397,1.813045325,5045,4978,X,2440,915,619
National,X,2010,49,14958,742606,1936,1.879232217,2.014257897,5060,5867,X,2511,893,627
National,X,2010,50,18022,704923,1916,2.337102955,2.556591287,6300,7194,X,2847,1031,650
National,X,2010,51,19899,588406,1840,3.035331428,3.381848588,7295,7071,X,3433,1262,838
National,X,2010,52,20346,592880,1887,3.135998856,3.431723114,7478,5764,X,4455,1581,1068
National,X,2011,1,20026,744043,1923,2.533356137,2.691511109,6584,6342,X,4455,1586,1059
National,X,2011,2,20721,711908,1921,2.912877126,2.910628901,6238,7773,X,4220,1537,953
National,X,2011,3,26257,751850,1964,3.444971016,3.492318947,7247,11243,X,5095,1734,938
National,X,2011,4,31975,798637,1947,4.161849768,4.003696298,8007,15291,X,5952,1794,931
National,X,2011,5,34284,772974,1970,4.551591511,4.435336764,8195,16366,X,6536,1990,1197
National,X,2011,6,34456,812230,1961,4.465036621,4.24214816,8036,16516,X,6812,1996,1096
National,X,2011,7,36567,831600,1910,4.551243251,4.397186147,8172,17493,X,7257,2352,1293
National,X,2011,8,31277,801449,1908,4.082196881,3.902556495,7839,13718,X,6425,2028,1267
National,X,2011,9,24627,781629,1860,3.38812252,3.150727519,6376,10496,X,4869,1740,1146
National,X,2011,10,20377,747993,1829,2.991417579,2.724223355,5691,8427,X,3939,1421,899
National,X,2011,11,17309,741807,1823,2.615419081,2.33335625,5363,6702,X,3265,1175,804
National,X,2011,12,14031,728883,1790,2.090648213,1.925000309,4400,5489,X,2551,978,613
National,X,2011,13,12957,739375,1770,1.861455225,1.752426036,4189,5025,X,2244,877,622
National,X,2011,14,11498,729089,1723,1.613771334,1.577036548,3701,4557,X,1985,747,508
National,X,2011,15,9391,691707,1681,1.421991745,1.35765577,3164,3562,X,1574,641,450
National,X,2011,16,8695,662612,1651,1.338204589,1.312230989,3139,3064,X,1505,559,428
National,X,2011,17,7830,681240,1612,1.199952655,1.14937467,2895,2673,X,1324,555,383
National,X,2011,18,7307,655627,1585,1.148885988,1.114505656,2532,2553,X,1305,524,393
National,X,2011,19,7236,651983,1556,1.121939541,1.109844889,2551,2595,X,1254,485,351
National,X,2011,20,6530,620485,1516,1.0671236,1.052402556,2353,2280,X,1131,461,305
National,X,2011,21,6072,586460,1381,1.050584728,1.035364731,2213,2110,X,1045,405,299
National,X,2011,22,5946,531954,1357,1.152025575,1.117765822,2249,1980,X,1013,397,307
National,X,2011,23,5547,564322,1296,0.970975002,0.982949451,2040,1760,X,1037,432,278
National,X,2011,24,4989,539238,1279,0.894683261,0.925194441,1812,1599,X,911,405,262
National,X,2011,25,4448,532356,1251,0.843568301,0.835531111,1604,1422,X,870,308,244
National,X,2011,26,4218,506732,1225,0.815409145,0.832392665,1472,1462,X,750,324,210
National,X,2011,27,4009,468565,1211,0.823052353,0.855591007,1423,1269,X,823,270,224
National,X,2011,28,3721,526346,1220,0.674634799,0.706949421,1255,1206,X,756,316,188
National,X,2011,29,3597,518011,1203,0.631882795,0.694386799,1243,1184,X,733,259,178
National,X,2011,30,3538,514262,1179,0.641512538,0.687976168,1251,1188,X,667,263,169
National,X,2011,31,3202,496632,1175,0.529812879,0.644742989,1088,1125,X,635,203,151
National,X,2011,32,3523,521671,1175,0.644089346,0.675329853,1207,1223,X,704,231,158
National,X,2011,33,3874,531975,1191,0.66771825,0.72822971,1342,1358,X,767,241,166
National,X,2011,34,4444,551005,1195,0.705668092,0.806526257,1505,1600,X,814,305,220
National,X,2011,35,4717,548228,1200,0.804155047,0.860408443,1528,1781,X,887,308,213
National,X,2011,36,4813,514168,1184,0.907803772,0.936075368,1622,1809,X,904,293,185
National,X,2011,37,5567,575887,1196,1.005550427,0.9666827,1788,2206,X,1022,346,205
National,X,2011,38,5822,584534,1201,1.036011298,0.996007076,1816,2264,X,1126,374,242
National,X,2011,39,6708,605162,1213,1.07583254,1.108463519,2248,2514,X,1253,449,244
National,X,2011,40,9365,778182,1850,1.160923985,1.203445981,3106,3485,X,1765,632,377
National,X,2011,41,9803,791987,1883,1.197852415,1.237772842,3317,3667,X,1777,672,370
National,X,2011,42,9958,794995,1905,1.279262601,1.252586494,3324,3837,X,1763,655,379
National,X,2011,43,10298,788840,1900,1.291938615,1.305461184,3453,4035,X,1773,657,380
National,X,2011,44,11396,784334,1925,1.428244468,1.452952441,3634,4658,X,1957,760,387
National,X,2011,45,11496,797839,1946,1.398029384,1.44089221,3949,4348,X,2072,671,456
National,X,2011,46,11721,801594,1900,1.458309829,1.462211543,3923,4361,X,2166,797,474
National,X,2011,47,10377,626731,1918,1.565478899,1.655734278,4125,3340,X,1803,679,430
National,X,2011,48,11479,782984,1904,1.343134813,1.466058055,4237,3955,X,2059,815,413
National,X,2011,49,11187,736905,1898,1.481386467,1.518106133,3995,4040,X,1938,772,442
National,X,2011,50,12137,729258,1872,1.633984564,1.664294392,4579,4097,X,2077,838,546
National,X,2011,51,11958,645424,1851,1.831261781,1.852735566,5016,3535,X,2068,818,521
National,X,2011,52,12356,581697,1821,2.104505893,2.124129916,5243,3184,X,2315,946,668
National,X,2012,1,11992,678631,1891,1.736249461,1.767086974,4514,3393,X,2342,1028,715
National,X,2012,2,11543,747894,1883,1.550664054,1.543400535,4059,3636,X,2319,918,611
National,X,2012,3,11939,724623,1887,1.628914741,1.647615381,4364,4030,X,2247,800,498
National,X,2012,4,13209,784244,1891,1.760384475,1.684297234,4766,4802,X,2303,825,513
National,X,2012,5,14448,775298,1885,1.927281921,1.863541503,5218,5336,X,2415,915,564
National,X,2012,6,14624,784516,1875,1.919942436,1.864079254,5028,5555,X,2582,894,565
National,X,2012,7,15929,789193,1884,2.099511932,2.018390939,5277,5994,X,2937,1054,667
National,X,2012,8,16137,767022,1853,2.239733513,2.103850998,5246,5990,X,3009,1131,761
National,X,2012,9,16518,788242,1826,2.219208332,2.095549336,5219,6239,X,3141,1153,766
National,X,2012,10,15763,749198,1816,2.1669258,2.103983193,4811,6493,X,2832,998,629
National,X,2012,11,17150,747570,1819,2.389134426,2.294099549,5175,6768,X,3321,1185,701
National,X,2012,12,14524,755579,1780,1.964661774,1.922234472,4422,5683,X,2822,988,609
National,X,2012,13,13017,747079,1753,1.842289327,1.742386013,3807,5256,X,2485,920,549
National,X,2012,14,11930,711808,1729,1.686738579,1.676013757,3582,4631,X,2306,839,572
National,X,2012,15,10732,717202,1707,1.531356691,1.496370618,3253,4059,X,2109,767,544
National,X,2012,16,10123,732480,1699,1.379122383,1.382017256,3001,4020,X,1990,719,393
National,X,2012,17,9370,726772,1675,1.295145862,1.289262657,2638,3802,X,1831,664,435
National,X,2012,18,8999,662649,1564,1.395206744,1.358034193,2509,3671,X,1728,636,455
National,X,2012,19,8576,655492,1546,1.325217612,1.308330231,2524,3468,X,1559,606,419
National,X,2012,20,8062,636347,1503,1.230589531,1.266918835,2465,3087,X,1547,588,375
National,X,2012,21,7878,616765,1415,1.230279678,1.277309834,2545,3011,X,1461,483,378
National,X,2012,22,7153,550614,1409,1.268767813,1.299095192,2480,2601,X,1276,446,350
National,X,2012,23,6765,581700,1365,1.107816068,1.162970603,2336,2352,X,1281,458,338
National,X,2012,24,6133,564670,1289,1.095590381,1.086121097,2231,2024,X,1150,428,300
National,X,2012,25,6048,572296,1295,1.110308286,1.056795784,2259,1974,X,1119,411,285
National,X,2012,26,5786,536380,1260,1.106161219,1.078712853,2168,1850,X,1058,422,288
National,X,2012,27,5291,505533,1271,1.108158905,1.046618124,1911,1706,X,1013,388,273
National,X,2012,28,5185,558637,1240,0.999443977,0.928151913,1913,1751,X,964,337,220
National,X,2012,29,4931,546713,1223,0.924198584,0.901935751,1818,1640,X,914,318,241
National,X,2012,30,5103,557488,1250,0.949256676,0.915356026,1752,1721,X,975,372,283
National,X,2012,31,5159,541600,1240,0.978902812,0.952548006,1728,1706,X,1050,408,267
National,X,2012,32,5026,548294,1248,0.925024122,0.916661499,1660,1718,X,989,375,284
National,X,2012,33,5051,560110,1238,0.848455695,0.901787149,1721,1755,X,986,357,232
National,X,2012,34,6141,594395,1238,1.04450505,1.033151356,2098,2128,X,1194,425,296
National,X,2012,35,6318,600354,1238,1.098599787,1.052379096,1958,2335,X,1305,443,277
National,X,2012,36,6296,558585,1242,1.220708068,1.12713374,1886,2294,X,1317,481,318
National,X,2012,37,7382,622114,1252,1.249762568,1.186599241,2176,2870,X,1408,513,415
National,X,2012,38,7656,630563,1268,1.228922639,1.214153066,2295,2972,X,1530,511,348
National,X,2012,39,7807,623572,1248,1.293932615,1.251980525,2421,2867,X,1546,575,398
National,X,2012,40,9395,779285,1932,1.23033799,1.205592306,2773,3691,X,1814,702,415
National,X,2012,41,10160,770566,1941,1.325522369,1.318511328,2960,4009,X,1957,745,489
National,X,2012,42,10586,797722,1969,1.339539109,1.327028714,3202,4234,X,1902,760,488
National,X,2012,43,10913,798388,1958,1.378418572,1.366879262,3346,4268,X,2012,771,516
National,X,2012,44,11061,734781,1929,1.500853,1.505346491,3326,4422,X,2032,797,484
National,X,2012,45,12674,785871,1974,1.651627206,1.612732879,3733,5145,X,2330,925,541
National,X,2012,46,13623,777534,1966,1.767460397,1.752077723,4034,5526,X,2569,897,597
National,X,2012,47,14650,627772,1968,2.306093457,2.333649796,4651,5387,X,2824,1105,683
National,X,2012,48,18521,831670,2005,2.163524615,2.226965022,5102,7018,X,3950,1498,953
National,X,2012,49,24877,835762,2006,2.830381683,2.976565099,6486,10857,X,4672,1791,1071
National,X,2012,50,29441,811896,1978,3.437716431,3.626203356,7450,12948,X,5693,2088,1262
National,X,2012,51,34345,754338,1910,4.303560473,4.552998788,8553,13976,X,7437,2731,1648
National,X,2012,52,36600,607262,1906,6.06102683,6.027052574,9713,11395,X,9299,3639,2554
National,X,2013,1,34105,687154,1983,4.649036869,4.963225129,8445,9108,X,9679,4081,2792
National,X,2013,2,39900,850625,1996,4.325735839,4.690668626,8298,13424,X,10879,4503,2796
National,X,2013,3,39444,838427,2009,4.510992519,4.704524067,8633,15994,X,8978,3523,2316
National,X,2013,4,32426,778610,1978,4.217104081,4.16460102,7441,13439,X,7021,2760,1765
National,X,2013,5,29810,806708,1964,3.789615138,3.695265201,6609,12655,X,6421,2551,1574
National,X,2013,6,24987,772086,1931,3.292056361,3.236297511,5757,10816,X,5236,1971,1207
National,X,2013,7,22321,771229,1926,3.019702491,2.894211706,5289,9395,X,4698,1894,1045
National,X,2013,8,20519,755092,1940,2.71499071,2.717417215,5099,8415,X,4357,1625,1023
National,X,2013,9,19231,762238,1893,2.484501645,2.522965268,4633,7981,X,4030,1619,968
National,X,2013,10,18829,737736,1884,2.5780754,2.55226802,4791,7709,X,3935,1536,858
National,X,2013,11,17392,715059,1846,2.392373731,2.43224685,4480,7065,X,3606,1352,889
National,X,2013,12,15268,724108,1828,2.068210495,2.108525248,3957,6105,X,3194,1271,741
National,X,2013,13,13714,704276,1811,1.902809176,1.947247954,3830,5204,X,2924,1124,632
National,X,2013,14,12273,701966,1770,1.658446022,1.748375277,3516,4299,X,2677,1106,675
National,X,2013,15,10818,722583,1742,1.430057874,1.49712905,3110,3929,X,2219,957,603
National,X,2013,16,9188,694415,1732,1.277570855,1.323128101,2707,3509,X,1757,724,491
National,X,2013,17,8589,700300,1711,1.190089058,1.226474368,2588,3364,X,1630,582,425
National,X,2013,18,7986,667648,1675,1.095563452,1.196139283,2439,3142,X,1470,565,370
National,X,2013,19,7704,647130,1630,1.085889229,1.190487228,2422,2877,X,1474,570,361
National,X,2013,20,7317,623114,1582,1.073427291,1.174263457,2431,2583,X,1345,565,393
National,X,2013,21,6589,581338,1489,1.016768304,1.133419801,2230,2219,X,1279,493,368
National,X,2013,22,6190,541528,1486,1.048469746,1.143061855,2109,2094,X,1147,483,357
National,X,2013,23,5638,558875,1421,0.92034901,1.008812346,1983,1779,X,1086,460,330
National,X,2013,24,5539,541138,1419,0.920779051,1.023583633,1969,1713,X,1112,468,277
National,X,2013,25,5474,546643,1405,0.904333468,1.001384816,1877,1766,X,1040,489,302
National,X,2013,26,4915,540408,1389,0.830570306,0.909498009,1703,1581,X,947,399,285
National,X,2013,27,4506,474295,1357,0.8628365,0.950041641,1594,1489,X,851,321,251
National,X,2013,28,4510,543833,1362,0.732182392,0.8292987,1576,1491,X,862,362,219
National,X,2013,29,4186,521874,1341,0.724557661,0.802109321,1432,1405,X,849,315,185
National,X,2013,30,4233,524969,1325,0.740847831,0.806333326,1416,1464,X,800,332,221
National,X,2013,31,3886,487617,1290,0.726037102,0.79693694,1216,1284,X,852,350,184
National,X,2013,32,4075,523015,1299,0.755638759,0.779136354,1367,1338,X,870,302,198
National,X,2013,33,4168,522533,1276,0.761846592,0.797652971,1364,1366,X,919,331,188
National,X,2013,34,4317,522965,1265,0.779895559,0.825485453,1331,1561,X,892,301,232
National,X,2013,35,5053,540157,1260,0.899137895,0.935468762,1499,1814,X,1014,410,316
National,X,2013,36,5626,539175,1317,0.999523948,1.043446005,1681,2035,X,1137,462,311
National,X,2013,37,6374,584196,1307,1.055801518,1.091072174,1926,2437,X,1217,440,354
National,X,2013,38,7110,591969,1290,1.096701461,1.201076408,2175,2683,X,1350,537,365
National,X,2013,39,7963,631088,1364,1.247092095,1.261789164,2393,2963,X,1500,648,459
National,X,2013,40,9713,856137,2039,1.155566214,1.134514686,2986,3782,X,1854,643,448
National,X,2013,41,10453,859746,2063,1.273547642,1.215824209,3292,3945,X,1924,760,532
National,X,2013,42,10660,846040,2092,1.316758839,1.259987707,3486,3882,X,2011,787,494
National,X,2013,43,12040,874706,2091,1.371981769,1.376462491,3931,4493,X,2290,811,515
National,X,2013,44,12493,869382,2087,1.471753259,1.436997775,4047,4631,X,2353,931,531
National,X,2013,45,13448,876090,2086,1.579069983,1.535002112,4414,5041,X,2507,952,534
National,X,2013,46,13810,861966,2101,1.59276257,1.602151361,4618,4954,X,2687,975,576
National,X,2013,47,14982,867281,2064,1.718067741,1.727467799,4757,5520,X,3057,1072,576
National,X,2013,48,13900,659785,2033,2.10636955,2.106746895,4913,4278,X,3018,1052,639
National,X,2013,49,18831,849364,2043,2.160726947,2.217070655,5522,6546,X,4363,1539,861
National,X,2013,50,19325,792828,2029,2.374749548,2.437476981,5481,7018,X,4441,1588,797
National,X,2013,51,24607,804206,1976,3.186534212,3.059788164,6524,8383,X,6500,2267,933
National,X,2013,52,26580,603259,1958,4.593506036,4.406067709,7684,7372,X,7404,2829,1291
National,X,2014,1,28593,671575,1992,4.320334564,4.257603395,7479,6711,X,9116,3532,1755
National,X,2014,2,27769,794899,2002,3.601356915,3.49339979,6131,7773,X,8740,3519,1606
National,X,2014,3,28169,840791,1980,3.394833361,3.350297517,6006,9449,X,8024,3106,1584
National,X,2014,4,24819,761677,1972,3.422522022,3.258467828,5717,8588,X,6679,2550,1285
National,X,2014,5,22599,778089,1905,3.163730375,2.90442353,4994,8237,X,5886,2320,1162
National,X,2014,6,19603,746717,1824,2.863697167,2.625224817,4407,7046,X,5020,2110,1020
National,X,2014,7,15224,645152,1569,2.462266491,2.35975398,3432,5562,X,3921,1559,750
